0.98	514.50	294.00	110.25	7.00	2	0.00	15.55	21.33	0	
0.98	514.50	294.00	110.25	7.00	3	0.00	15.55	21.33	0	
0.98	514.50	294.00	110.25	7.00	4	0.00	15.55	21.33	0	
0.98	514.50	294.00	110.25	7.00	5	0.00	15.55	21.33	0	
0.90	563.50	318.50	122.50	7.00	2	0.00	20.84	28.28	0	
0.90	563.50	318.50	122.50	7.00	3	0.00	21.46	25.38	0	
0.90	563.50	318.50	122.50	7.00	4	0.00	20.71	25.16	0	
0.90	563.50	318.50	122.50	7.00	5	0.00	19.68	29.60	0	
0.86	588.00	294.00	147.00	7.00	2	0.00	19.50	27.30	0	
0.86	588.00	294.00	147.00	7.00	3	0.00	19.95	21.97	0	
0.86	588.00	294.00	147.00	7.00	4	0.00	19.34	23.49	0	
0.86	588.00	294.00	147.00	7.00	5	0.00	18.31	27.87	0	
0.82	612.50	318.50	147.00	7.00	2	0.00	17.05	23.77	0	
0.82	612.50	318.50	147.00	7.00	3	0.00	17.41	21.46	0	
0.82	612.50	318.50	147.00	7.00	4	0.00	16.95	21.16	0	
0.82	612.50	318.50	147.00	7.00	5	0.10	23.86	27.69	5	
0.64	784.00	343.00	220.50	3.50	3	0.10	15.37	19.18	5	
0.64	784.00	343.00	220.50	3.50	4	0.10	15.12	19.26	5	
0.64	784.00	343.00	220.50	3.50	5	0.10	15.36	19.29	5	
0.62	808.50	367.50	220.50	3.50	2	0.10	12.59	14.24	5	
0.62	808.50	367.50	220.50	3.50	3	0.10	12.74	13.97	5	
0.62	808.50	367.50	220.50	3.50	4	0.10	12.80	13.99	5	
0.62	808.50	367.50	220.50	3.50	5	0.10	12.62	14.15	5	
0.98	514.50	294.00	110.25	7.00	2	0.25	28.15	29.79	1	
0.98	514.50	294.00	110.25	7.00	3	0.25	28.15	29.79	1	
0.98	514.50	294.00	110.25	7.00	4	0.25	28.37	29.28	1	
0.98	514.50	294.00	110.25	7.00	5	0.25	28.41	29.49	1	
0.90	563.50	318.50	122.50	7.00	2	0.25	32.68	36.12	1	
0.90	563.50	318.50	122.50	7.00	3	0.25	33.48	33.17	1	
0.90	563.50	318.50	122.50	7.00	4	0.25	32.84	32.71	1	
0.90	563.50	318.50	122.50	7.00	5	0.25	32.00	37.58	1	
0.86	588.00	294.00	147.00	7.00	2	0.25	29.54	33.98	1	
0.86	588.00	294.00	147.00	7.00	3	0.25	30.05	28.61	1	
0.86	588.00	294.00	147.00	7.00	4	0.25	29.60	30.12	1	
0.86	588.00	294.00	147.00	7.00	5	0.25	28.66	34.73	1	
0.82	612.50	318.50	147.00	7.00	2	0.25	26.84	30.17	1	
0.71	710.50	269.50	220.50	3.50	4	0.25	12.57	15.44	1	
0.71	710.50	269.50	220.50	3.50	5	0.25	12.63	15.81	1	
0.69	735.00	294.00	220.50	3.50	2	0.25	12.78	15.21	1	
0.69	735.00	294.00	220.50	3.50	3	0.25	12.93	15.63	1	
0.69	735.00	294.00	220.50	3.50	4	0.25	12.73	15.48	1	
0.69	735.00	294.00	220.50	3.50	5	0.25	12.72	15.78	1	
0.66	759.50	318.50	220.50	3.50	2	0.25	13.17	16.39	1	
0.66	759.50	318.50	220.50	3.50	3	0.25	13.18	16.27	1	
